Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,649;0,617;-11,63%;-3,14%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean entropy;0,734;0,644;-0,04%;1,00%;S?d?k Hid?yet, “ K?r Bayku?” 
4;4;Maximum entropy;0,789;0,622;7,41%;-2,43%;U?ur Mumcu, “?a??n Su?u” 
;;Minimum complexity;0,649;0,617;-11,67%;-3,14%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean complexity;0,716;0,645;-2,55%;1,23%;Erol ?elik, “Heyula ” 
;;Maximum complexity;0,738;0,648;0,43%;1,73%;Mehmet Altan, “Mu?'ta Meryem Olmak”
;;Mean entropy and complexity;0,729;0,648;-0,82%;1,58%;Emin Akif Ersoy, “Babam Mehmet Akif ” 
;;Minimum entropy;0,533;0,531;-13,87%;-12,95%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean entropy;0,619;0,611;0,03%;0,21%;Halide Edip Ad?var, “Sevda Soka?? Komedyas? ” 
4;5;Maximum entropy;0,673;0,655;8,66%;7,38%;Osman Aysu , “?ktidar Merdiveni” 
;;Minimum complexity;0,533;0,531;-13,87%;-12,95%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean complexity;0,618;0,61;-0,23%;0,00%;Halit Ertu?rul, “A?k B?yle Ya?an?r” 
;;Maximum complexity;0,673;0,655;8,66%;7,38%;Osman Aysu , “?ktidar Merdiveni” 
;;Mean entropy and complexity;0,619;0,612;0,07%;0,24%;?ner ?nalan, “ Darwin Ne Yapt?” 
;;Minimum entropy;0,586;0,578;-13,57%;-10,47%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean entropy;0,677;0,649;-0,14%;0,50%;Abdullah Ziya Kozano?lu, “ Malko?o?lu - Kopya” 
5;3;Maximum entropy;0,739;0,676;8,95%;4,68%;U?ur Mumcu, “ ?a??n Su?u” 
;;Minimum complexity;0,586;0,578;-13,57%;-10,47%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean complexity;0,671;0,646;-0,98%;0,00%;O?uz Atay, “ Eylembilim” 
;;Maximum complexity;0,739;0,676;8,98%;4,68%;U?ur Mumcu, “ ?a??n Su?u” 
;;Mean entropy and complexity;0,676;0,649;-0,34%;0,49%;Erol Gungor, “Turkiye'de Misyoner Faaliyetleri” 
;;Minimum entropy;0,641;0,617;-13,61%;-5,37%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean entropy;0,741;0,661;-0,06%;1,36%;Mehmet G?reli, “Hayaller ve Sokaklar” 
6;2;Maximum entropy;0,803;0,638;8,33%;-2,04%;U?ur Mumcu, “?a??n Su?u” 
;;Minimum complexity;0,641;0,617;-13,61%;-5,37%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean complexity;0,706;0,652;-4,86%;0,09%;Yavuz Bahad?ro?lu, “Topal Kas?rga” 
;;Maximum complexity;0,749;0,661;0,99%;1,42%;Cemal S?reya, “T?rk?e Bilenin ??i Rast Gider” 
;;Mean entropy and complexity;0,735;0,661;-0,87%;1,35%;Mehmet Altan, “Mu?'ta Meryem Olmak ” 
;;;;;;;
Norwegian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,617;0,578;-19,99%;7,00%;Bjerregaard Henrik Anker, “Folkefesten den de Mai” 
;;Mean entropy;0,77;0,488;-0,07%;-9,72%;Halvorsen J.B.“Norsk Forfatter Lexikon paa Grundlag af J E K” 
;;Maximum entropy;0,837;0,446;8,59%;-17,41%;Ongelin Hanna, “Regina pigen fra fiskeveret fortelling” 
;;Minimum complexity;0,837;0,446;8,59%;-17,41%;Ongelin Hanna, “Regina pigen fra fiskeveret fortelling” 
;;Mean complexity;0,794;0,54;3,07%;-0,11%;Falck Ytter Oluf Vilhelm, “Don Pedros hule” 
;;Maximum complexity;0,7;0,61;-9,21%;12,89%;Falsen Christian Magnus, “Hvad har Norge at haabe hvad har det at frygt” 
;;Mean entropy and complexity;0,723;0,603;-6,20%;11,72%;Ellingseter Anne Lise, “ Merarbeid om arbeid utover ordiner arbeidstid” 
3;8;Minimum entropy;0,514;0,511;-19,75%;-16,60%;Overland O. A., “ En Bergenser i venetiansk Tjeneste historisk” 
;;Mean entropy;0,64;0,622;-0,05%;1,50%;Platou J. M., “Norsk eksempelsamling med stykker til analyse” 
;;Maximum entropy;0,753;0,637;17,50%;3,95%;Overland O. A., “ Illustreret Norges Historie” 
;;Minimum complexity;0,514;0,511;-19,75%;-16,60%;Overland O. A., “ En Bergenser i venetiansk Tjeneste historisk” 
;;Mean complexity;0,629;0,613;-1,86%;-0,07%;Pontoppidan Erik, “Udtog af Dr Erich Pontoppidans Forklaring til”
;;Maximum complexity;0,732;0,661;14,27%;7,83%;Ongelin Hanna, “Regina pigen fra fiskeveret fortelling” 
;;Mean entropy and complexity;0,638;0,62;-0,47%;1,07%;Gran Jens, “Skizzer af bergenske Forholde fra eldre og yn” 
4;4;Minimum entropy;0,58;0,567;-19,52%;-9,12%;Overland O. A., “ En Bergenser i venetiansk Tjeneste historisk” 
;;Mean entropy;0,721;0,644;-0,02%;3,24%;Broch Lars, “ Jordbeskrivelse for Almueskolen” 
;;Maximum entropy;0,817;0,548;13,29%;-12,22%;Overland O. A., “ Illustreret Norges Historie” 
;;Minimum complexity;0,817;0,548;13,29%;-12,22%;Overland O. A., “ Illustreret Norges Historie” 
;;Mean complexity;0,659;0,624;-8,54%;0,00%;Lokke Jakob, “ Kortfattet Engelsk Grammatik” 
;;Maximum complexity;0,73;0,649;1,28%;4,00%;Moli re, Jean Baptiste, “Den gjerrige komedie i fem akter og paa prosa” 
;;Mean entropy and complexity;0,705;0,645;-2,24%;3,33%;Jeger Henrik, “ Arvegods Skuespil i to Handlinger” 
4;5;Minimum entropy;0,549;0,545;-18,92%;-10,64%;Botten Hansen Paul, “ Paul Bottens St Hansnats eventyr ” 
;;Mean entropy;0,677;0,649;-0,01%;6,49%;Krogh G., “ Lerebog i Praktisk Regning efter det nye Mynt” 
;;Maximum entropy;0,81;0,647;19,64%;6,12%;Overland O. A., “ Illustreret Norges Historie” 
;;Minimum complexity;0,549;0,545;-18,92%;-10,64%;Botten Hansen Paul, “ Paul Bottens St Hansnats eventyr ” 
;;Mean complexity;0,623;0,61;-8,03%;0,03%;Clausen Sten Erik, “Barne og ungdomskriminalitet i Norge” 
;;Maximum complexity;0,762;0,679;12,51%;11,42%;Paus Hans, “Naturens Ret som en Grundvold til den danske” 
;;Mean entropy and complexity;0,643;0,626;-5,06%;2,72%;Holme Edin, “ Ildprofeten et episk digt” 
;;;;;;;
German;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,628;0,556;-19,72%;19,67%;Eduard M?rike, “Traumseele” 
;;;0,762;0,491;-2,58%;5,67%;K. Moritz, “Andreas Hartknopfs Predigerjahre”
;;;0,762;0,49;-2,58%;5,48%;O.Wildermuth, “Ein sonnenloses Leben”
;;;0,762;0,496;-2,57%;6,83%;L. Kompert, “Gottes Annehmerin”
;;Maximum entropy;0,815;0,427;4,26%;-8,05%;Neffe Juergen, “Darwin - Das Abenteuer Des Lebens” 
;;Minimum complexity;0,813;0,417;3,99%;-10,17%;August L?bben, “Mittelniederdeutsches Handw?rterbuch”
;;Mean complexity;0,791;0,464;1,20%;0,00%;S. Orth, “Sorry, wir haben die Landebahn verfehlt”
;;Maximum complexity;0,673;0,565;-13,89%;21,60%;S. Ulrich, “Hoffnung”
;;Mean entropy and complexity;0,754;0,485;-3,59%;4,43%;G. Keller, “Pankraz, der Schmoller”
3;6;Minimum entropy;0,583;0,556;-17,55%;1,97%;Albrecht D?rer, “Deutsche Landschaften”
;;Mean entropy;0,706;0,571;-0,19%;4,80%;F. Blei , “Liebesgeschichten des Orients”
;;Maximum entropy;0,788;0,511;11,39%;-6,26%;A. L?bben, C.Walther , “Mittelniederdeutsches Handw?rterbuch”
;;Minimum complexity;0,788;0,511;11,39%;-6,26%;August L?bben, “Mittelniederdeutsches Handw?rterbuch”
;;Mean complexity;0,742;0,545;5,00%;0,00%;S. Laurens, “Mein ungez?hmtes Herz”
;;Maximum complexity;0,684;0,601;-3,21%;10,24%;S. Hessel, “Emp?rt Euch!” 
;;Mean entropy and complexity;0,696;0,566;-1,60%;3,90%;F. Dahn, “Sind G?tter” 
3;7;Minimum entropy;0,557;0,546;-18,10%;-9,70%;Ludwig Aurbacher, “Die schw?bische Bauernhochzeit”
;;Mean entropy;0,68;0,622;0,00%;2,94%;Ewald Hecker, “Die Physiologie und Psychologie des Lachens und des Komischen” 
;;Maximum entropy;0,755;0,598;10,93%;-1,08%;A. L?bben, C.Walther , “Mittelniederdeutsches Handw?rterbuch”
;;Minimum complexity;0,557;0,546;-18,10%;-9,70%;Ludwig Aurbacher, “Die schw?bische Bauernhochzeit”
;;Mean complexity;0,663;0,605;-2,51%;0,00%;Bernhard Schlink, “Der Vorleser” 
;;Maximum complexity;0,685;0,628;0,71%;3,83%;J. Stettenheim, “Muckenich's Reden Und Thaten”
;;Mean entropy and complexity;0,648;0,606;-4,70%;0,19%;B. Schwarz, “Marcus Geliebter Afrikaner” 
4;3;Minimum entropy;0,634;0,552;-20,28%;18,22%;Johann Wolfgang von Goethe, “Die natuerliche Tochter”
;;Mean entropy;0,796;0,465;0,00%;-0,39%;Kasimir Edschmid, “Das B?cher-Dekameron” 
;;Maximum entropy;0,855;0,378;7,44%;-19,00%;J.Bugenhagen, “Dat Nie Testament Vun Unsen Herrn Un Heiland Jesus Christus: Na De Plattd?tsche Oewersettung Vun Johann Bugenhagen”
;;Minimum complexity;0,855;0,378;7,44%;-19,00%;J.Bugenhagen, “Dat Nie Testament Vun Unsen Herrn Un Heiland Jesus Christus: Na De Plattd?tsche Oewersettung Vun Johann Bugenhagen”
;;Mean complexity;0,788;0,467;-1,02%;0,00%;Friedrich Maximilian Klinger, “Faust s Leben, Taten und H?llenfahrt”
