Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,694;0,405;-5,51%;5,21%;Aleksa ?anti?, “Pesme”
;;Mean entropy;0,734;0,386;-0,07%;0,19%;Teodosije, Zitija
4;2;Maximum entropy;0,766;0,37;4,24%;-3,91%;Bogdan Popovi?, “Antologija novije srpske lirike”
;;Minimum complexity;0,805;0,324;9,56%;-15,77%;Jovan Sterija Popovi?, “Pokondirena tikva”
;;Mean complexity;0,735;0,385;0,06%;-0,12%;Pera Todorovi?, “Dnevni jednog dobrovoljca” 
;;Maximum complexity;0,703;0,436;-4,34%;13,23%;Sima Pandurovi?, “Pesme”
;;Mean entropy and complexity;0,735;0,385;0,02%;0,08%;Branislav Nu?i?, “Sumnjivo lice”
;;Minimum entropy;0,656;0,576;-15,72%;17,30%;Sima Pandurovi?, “Pesme”
;;Mean entropy;0,777;0,501;-0,22%;1,98%;Dobrica ?osi?, “Koreni”
4;3;Maximum entropy;0,827;0,449;6,25%;-8,57%;Petar Njego? Petrovi?, “Gorski vijenac”
;;Minimum complexity;0,816;0,431;4,83%;-12,23%;Veselin ?ajkanovi?, “Re?nik srpskih narodnih verovanja o biljkama”
;;Mean complexity;0,802;0,491;3,04%;-0,04%;Branko ?opi?, “?arobna ?uma”
;;Maximum complexity;0,693;0,579;-10,97%;17,91%;Branko ?opic, “Do?ivljaji Ma?ka To?e”
;;Mean entropy and complexity;0,768;0,508;-1,32%;3,53%;Branko ?opi?, “Ba?ta sljezove boje”
;;Minimum entropy;0,417;0,417;-19,64%;-19,56%;Sima Pandurovi?, “Pesme”
;;Mean entropy;0,517;0,517;-0,42%;-0,39%;Ivo ?ipiko, “Pauci”
5;4;Maximum entropy;0,592;0,59;13,97%;13,71%;Ljubomir Simovi?, “Najlep?e pesme” 
;;Minimum complexity;0,417;0,417;-19,64%;-19,56%;Sima Pandurovi?, “Pesme”
;;Mean complexity;0,517;0,517;-0,42%;-0,39%;Ivo ?ipiko, “Pauci”
;;Maximum complexity;0,592;0,59;13,97%;13,71%;Ljubomir Simovi?, “Najlep?e pesme” 
;;Mean entropy and complexity;0,517;0,517;-0,42%;-0,39%;Ivo ?ipiko, “Pauci”
;;;;;;;
Hungarian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;3;Minimum entropy;0,507;0,418;-16,70%;-5,26%;"Fazekas Mih?ly , ""Gr?f Gvad?nyi J?zsef ?s Fazekas Mih?ly (Magyar remekir?k 6. k?tet)"""
;;Mean entropy;0,608;0,444;-0,03%;0,59%;"M?r J?kai, ""Targallyak"""
;;Maximum entropy;0,698;0,432;14,69%;-2,09%;"M?r J?kai, ""Mire megv?n?l?nk (1. k?tet)"""
;;Minimum complexity;0,523;0,404;-14,07%;-8,44%;"L?szl? Mer?nyi, ""Saj?v?lgyi eredeti n?pmes?k (1. k?tet)"""
;;Mean complexity;0,598;0,441;-1,79%;0,00%;"Maurus J?kai, ""Nincsen ?rd?g; A Magl?y csal?d; A ki holta ut?n ?ll boszut"""
;;Maximum complexity;0,624;0,449;2,53%;1,76%;"M?r J?kai, ""Az ?let kom?di?sai (2. r?sz)"""
;;Mean entropy and complexity;0,606;0,445;-0,50%;0,94%;"M?r J?kai, ""Megt?rt?nt reg?k"""
3;4;Minimum entropy;0,425;0,401;-12,12%;-9,67%;"Gaal J?zsef, ""Szirmay Ilona"""
;;Mean entropy;0,484;0,445;-0,01%;0,24%;"M?r J?kai, ""D?lvir?gok; Oce?nia"""
;;Maximum entropy;0,553;0,487;14,35%;9,71%;"Lajos Bir?, ""Don Juan h?rom ?jszak?ja"""
;;Minimum complexity;0,425;0,401;-12,12%;-9,67%;"Gaal J?zsef, ""Szirmay Ilona"""
;;Mean complexity;0,482;0,444;-0,34%;-0,06%;"Br?dy S?ndor, ""Emberek"""
;;Maximum complexity;0,553;0,487;14,35%;9,71%;"Lajos Bir?, ""Don Juan h?rom ?jszak?ja"""
;;Mean entropy and complexity;0,484;0,445;-9,77%;0,24%;"M?r J?kai, ""D?lvir?gok; Oce?nia"""
4;2;Minimum entropy;0,474;0,425;-11,49%;-7,15%;"L?szl? Arany, Pal Gyulai, ""Elegyes gy?jt?sek Magyarorsz?g ?s Erd?ly k?l?nb?z? r?szeib?l"""
;;Mean entropy;0,536;0,458;-0,07%;0,21%;"Istv?n ?rk?ny, ""Novell?k"""
;;Maximum entropy;0,614;0,485;14,56%;6,07%;"M?r J?kai, ""Mire megv?n?l?nk (1. k?tet)"""
;;Minimum entropy;0,474;0,425;-11,49%;-7,15%;"L?szl? Arany, Pal Gyulai, ""Elegyes gy?jt?sek Magyarorsz?g ?s Erd?ly k?l?nb?z? r?szeib?l"""
;;Mean complexity;0,534;0,457;-0,29%;0,00%;"M?r J?kai, ""Politikai divatok"""
;;Maximum complexity;0,614;0,485;14,56%;6,07%;"M?r J?kai, ""Mire megv?n?l?nk (1. k?tet)"""
;;Mean entropy and complexity;0,535;0,459;-0,16%;0,45%;"M?r J?kai, ""N?vtelen v?r (1. r?sz)"""
5;1;Minimum entropy;0,597;0,421;-12,99%;3,99%;"K?lm?n Thaly, ""R?gi magyar vit?zi ?nekek ?s elegyes dalok (2. k?tet)"""
;;Mean entropy;0,686;0,412;-0,06%;1,79%;"M?r J?kai, ""Magn?ta; T?gy j?t"""
;;Maximum entropy;0,778;0,355;13,39%;-12,31%;"K?lm?n Miksz?th, ""Mikor a m?cses m?r csak pislog"""
;;Minimum complexity;0,778;0,355;13,39%;-12,31%;"K?lm?n Miksz?th, ""Mikor a m?cses m?r csak pislog"""
;;Mean complexity;0,686;0,404;0,01%;-0,18%;"L?szl? Mer?nyi, ""Saj?v?lgyi eredeti n?pmes?k (2. k?tet)"""
;;Maximum complexity;0,615;0,425;-10,36%;4,98%;"Szemere Gy?rgy, ""A Kont-eset"""
;;Mean entropy and complexity;0,683;0,412;-0,40%;1,67%;"Br?dy S?ndor, ""Elbesz?l?sek"""
;;;;;;;
;;;;;;;
Finnish;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,686;0,571;-14,31%;11,19%;Aaro Hellaakoski, “Nimett?mi? lauluja”
;;Mean entropy;0,802;0,519;0,12%;0,97%;Heikki Reijonen, “Kuvaus vanhan kansan el?m?st?” 
;;Maximum entropy;0,844;0,458;5,41%;-10,78%;"Aho Juhani, ""Helsinkiin"""
;;Minimum complexity;0,844;0,458;5,41%;-10,78%;"Aho Juhani, ""Helsinkiin"""
;;Mean complexity;0,804;0,515;0,46%;0,28%;Santeri Ivalo, “Pietari S?rkilahti: Historiallinen romaani” 
;;Maximum complexity;0,695;0,572;-13,23%;11,33%;"Eino Leino, “Kangastuksia; Talvi-y?; Halla; T?htitarha” "
;;Mean entropy and complexity;0,793;0,526;-0,93%;2,47%;Aleksis Kivi, “Nummisuutarit” 
3;6;Minimum entropy;0,579137;0,55412;-14,71%;-8,75%;Jacob Fredrik Lagervall, “Kaini: Murhekuvaus 2:ssa Kohtauksessa” 
;;Mean entropy;0,679;0,609;0,00%;0,34%;Jalmari Hahl, “Surun tie Romaani” 
;;Maximum entropy;0,72;0,616;6,07%;1,39%;Pietari P?iv?rinta, “ El?m?ni” 
;;Minimum complexity;0,581;0,552;-14,43%;-9,10%;Elias L?nnrot, “Suomen kansan muinaisia loitsurunoja” 
;;Mean complexity;0,673;0,607;-0,88%;0,00%;M?r J?kai, “Kiusaaja Romaani” 
;;;0,673;0,607;-0,88%;0,00%;M?r J?kai, “Kiusaaja Romaani” 
;;Maximum complexity;0,711;0,616;4,69%;1,40%;Yrj? Sakari Yrj?-Koskinen, “Pohjan-Piltti: Kuvaus lopulta 13:tta vuosisataa” 
;;Mean entropy and complexity;0,679;0,609;-0,02%;0,33%;Pietari P?iv?rinta, “Pikku kuvia el?m?st?” 
4;3;Minimum entropy;0,651;0,578;-14,39%;1,73%;Jacob Fredrik Lagervall, “Murhekuvaus 2:ssa Kohtauksessa” 
;;Mean entropy;0,762;0,572;0,12%;0,61%;B. F. Godenhjelm, “Runous ja runouden muodot” 
;;Maximum entropy;0,807;0,534;6,08%;-5,97%;Pietari P?iv?rinta, “ El?m?ni” 
;;Minimum complexity;0,807;0,534;6,08%;-5,97%;Pietari P?iv?rinta, “ El?m?ni” 
;;Mean complexity;0,768;0,568;0,89%;0,05%;"Arvid J?rnefelt, ""Is?nmaa"""
;;Maximum complexity;0,706;0,587;-7,21%;3,33%;Larin-Ky?sti, “Aslak Hetta Kertova lappalaisrunoelma” 
;;Mean entropy and complexity;0,758;0,573;-0,39%;0,88%;Canth Minna, “Lehtori Hellmanin vaimo” 
4;4;Minimum entropy;0,491;0,487;-14,97%;-13,78%;Jacob Fredrik Lagervall, “Murhekuvaus 2:ssa Kohtauksessa” 
;;Mean entropy;0,577;0,565;-0,05%;0,02%;Ervast Pekka, “Kalevalan avain”
;;Maximum entropy;0,614;0,595;6,37%;5,34%;Pietari P?iv?rinta, “ El?m?ni” 
;;Minimum complexity;0,491;0,487;-14,97%;-13,78%;Jacob Fredrik Lagervall, “Murhekuvaus 2:ssa Kohtauksessa” 
;;Mean complexity;0,577;0,565;0,02%;0,09%;Alfred Saukkonen, “Kultainen linna: Satuja Suomen lapsille” 
;;Maximum complexity;0,614;0,595;6,37%;5,34%;Pietari P?iv?rinta, “ El?m?ni” 
;;Mean entropy and complexity;0,579;0,566;0,27%;0,31%;Santeri Alkio, “Palvelusv?ke?” 
5;2;Minimum entropy;0,65;0,578;-14,35%;1,27%;Jacob Fredrik Lagervall, “Murhekuvaus 2:ssa Kohtauksessa” 
;;Mean entropy;0,758;0,575;0,00%;0,70%;Rex Beach, “Seikkailijoita”
;;;;;;;Romaani
;;Maximum entropy;0,802;0,54;5,81%;-5,38%;Pietari P?iv?rinta, “ El?m?ni” 
;;Minimum complexity;0,802;0,54;5,81%;-5,38%;Pietari P?iv?rinta, “ El?m?ni” 
;;Mean complexity;0,766;0,571;0,95%;0,02%;Jaakko Nikkinen, “Leppirannan Lauri: Romaani”
;;Maximum complexity;0,706;0,588;-6,87%;3,07%;Martti Wuori, “Historiallinen 5-n?yt?ksinen murhen?ytelm? ” 
;;Mean entropy and complexity;0,755;0,577;-0,44%;1,09%;Robert Kiljander, “Sulhasen luona” 
;;;;;;;
Vietnamese;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,575;0,499;-11,57%;-3,90%;N? N?n - Nguy?n C?ng Hoan
;;Mean entropy;0,651;0,55;0,00%;5,77%;L??c kh?o Vi?t ng? - L? V?n N??u
;;Maximum entropy;0,707;0,51;8,71%;-1,81%;Ploy - Trai dat tron - Ploy
;;Minimum complexity;0,671;0,472;3,17%;-9,16%;Truyen ngan Dac sac Viet Nam - Nhieu tac gia
;;Mean complexity;0,648;0,519;-0,42%;-0,01%;NH? X?A C? HOA MIMOSA V?NG-Nguy?n ??c T?ng
;;Maximum complexity;0,649;0,564;-0,25%;8,59%;Chi Can Mot Nguoi Hieu Em Trong Doi - Thao Xu
;;Mean entropy and complexity;0,649;0,521;-0,18%;0,37%;H?y t?m t?i gi?a c?nh ??ng - ??ng Nguy?n ??ng Vy
3;7;Minimum entropy;0,527;0,509;-11,83%;-6,72%;Qu?c s? ng?m - Nguy?n T?ng San
;;Mean entropy;0,598;0,544;-0,01%;-0,26%;L?u t?nh m?ng - B? T?ng Long
;;Maximum entropy;0,652;0,566;9,10%;3,77%;Ploy - Trai dat tron - Ploy
;;Minimum complexity;0,527;0,499;-11,81%;-8,40%;N? N?n - Nguy?n C?ng Hoan
;;Mean complexity;0,587;0,545;-1,79%;0,00%;Hai Vo - Ho Bieu Chanh
;;Maximum complexity;0,64;0,576;7,13%;5,64%;Canh trai - Phan Hon Nhien
;;Mean entropy and complexity;0,618;0,523;3,41%;-4,17%;Chu Lai tuyen tap - Chu Lai
4;3;Minimum entropy;0,607;0,5;-9,80%;-1,48%;N? N?n - Nguy?n C?ng Hoan
;;Mean entropy;0,673;0,5;0,00%;-1,48%;Tu Truyen Bong - Hoang Nguyen, Doan Trang
;;Maximum entropy;0,743;0,518;10,51%;1,97%;L?i Ti?n Tri C?a Gi?t S??ng - Nh?t Chi?u
;;Minimum complexity;0,71;0,459;5,61%;-9,70%;NHL-DuongTongbatDaiGia
;;Mean complexity;0,684;0,508;1,73%;0,00%;?I?U VALSE ??A NG?C
;;Maximum complexity;0,645;0,553;-4,04%;8,91%;Vo Cung Xua Cu - Bao Ninh
;;Mean entropy and complexity;0,665;0,518;-1,10%;1,95%;M?Y M?A THU
4;5;Minimum entropy;0,505;0,504;-17,27%;-16,10%;Am Ban - Pham Viet Long
;;Mean entropy;0,611;0,602;-0,04%;0,24%;Nguoi Co Mot Thoi - KhoiVu
;;Maximum entropy;0,682;0,64;11,56%;6,48%;Ty vet tam linh-tuyen truyen vua - Binh-nguyen Loc
;;Minimum complexity;0,505;0,504;-17,27%;-16,10%;Am Ban - Pham Viet Long
;;Mean complexity;0,61;0,601;-0,19%;-0,01%;Giao th?a - Nguy?n Ng?c T?
;;;0,61;0,601;-0,19%;0,09%;H?y t?m t?i gi?a c?nh ??ng - ??ng Nguy?n ??ng Vy
;;Maximum complexity;0,671;0,645;9,89%;7,35%;Sachvui.Com-dieu-bi-mat-han-nhu
;;Mean entropy and complexity;0,61;0,602;-0,11%;0,23%;?o Ti?u Th? - Duy?n Anh
9;1;Minimum entropy;0,658;0,626;-19,27%;2,84%;Huong Phi, moi tinh tuyet vong - Nguyen Van Ly
;;Mean entropy;0,815;0,625;-0,02%;2,58%;Khoc tham - Ho Bieu Chanh
;;Maximum entropy;0,883;0,503;8,29%;-17,36%;Vet seo va cai dau hoi - Vo Van Truc
;;Minimum complexity;0,883;0,503;8,29%;-17,36%;Vet seo va cai dau hoi - Vo Van Truc
;;Mean complexity;0,829;0,609;1,68%;-0,02%;Ben-Bo-Hien-Luong-Phan-Cao-Toai
;;Maximum complexity;0,746;0,657;-8,58%;7,85%;Toi Tam - Nhat Linh
;;Mean entropy and complexity;0,79;0,644;-3,16%;5,84%;Vua nham mat vua mo cua so - Nguyen Ngoc Thuan
;;;;;;;
Basque;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;3;Minimum entropy;0,617;0,38;-15,00%;2,67%;Biktoriano Iraola Aristegieta Gipuzkoa
;;Mean entropy;0,726;0,381;0,00%;3,02%;Errealaren historia
;;Maximum entropy;0,831;0,303;14,48%;-18,18%;Gasteizko garraiobideak
;;Minimum complexity;0,831;0,303;14,48%;-18,18%;Gasteizko garraiobideak
;;Mean complexity;0,72;0,37;-0,81%;-0,01%;Aucamvila Okzitaniako
;;Maximum complexity;0,64;0,439;-11,92%;18,70%;Euskal Herria
;;Mean entropy and complexity;0,743;0,365;2,25%;-1,30%;Perihelion
3;4;Minimum entropy;0,588;0,477;-14,35%;-1,90%;KISS New Yorken sortutako
;;Mean entropy;0,686;0,489;0,00%;0,60%;Alexander Graham Bell
;;Maximum entropy;0,776;0,456;13,00%;-6,15%;Felix Aranzabal 
;;Minimum complexity;0,776;0,456;13,00%;-6,15%;Felix Aranzabal 
;;Mean complexity;0,702;0,5;2,33%;2,73%;Arbois Frantziako
;;Maximum complexity;0,668;0,511;-2,65%;4,97%;Nozay
;;Mean entropy and complexity;0,686;0,488;-0,03%;0,30%;Dred Scott 
4;2;Minimum entropy;0,561;0,451;-12,77%;1,20%;Digestio-aparatua edo aparatu digestiboa
;;Mean entropy;0,643;0,438;0,00%;-1,85%;Sobietar Batasuneko
;;Maximum entropy;0,763;0,369;18,71%;-17,13%;Zenbakizko kontrola
;;Minimum complexity;0,763;0,369;18,71%;-17,13%;Zenbakizko kontrola
;;Mean complexity;0,617;0,446;-4,00%;0,00%;Pringy Frantziako 
;;Maximum complexity;0,655;0,478;1,85%;7,13%;Reggio di Calabria 
;;Mean entropy and complexity;0,641;0,452;-0,34%;1,44%;Lux Interior 
7;1;Minimum entropy;0,639;0,552;-8,99%;0,56%;Canteleu Frantziako 
;;Mean entropy;0,702;0,559;0,00%;1,82%;Ameriketako Estatu Batuetako Gerra Zibila
;;Maximum entropy;0,835;0,456;18,95%;-16,80%;Hidrogenoa
;;Minimum complexity;0,835;0,456;18,90%;-16,81%;Bangor Galesko
;;Mean complexity;0,74;0,549;5,36%;-0,01%;Shaka Virgokoa
;;Maximum complexity;0,691;0,56;-1,63%;2,13%;Frantziako
;;Mean entropy and complexity;0,696;0,559;-0,90%;1,86%;Frantziako udalerria
;;;;;;;
Esperanto;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,802;0,47;-5,81%;12,65%;"Zamenhof Ludoviko, ""Esenco kaj estonteco de la ideo de Lingvo Internacia"""
;;Mean entropy;0,85;0,431;-0,17%;3,37%;"Orzeszkowa Eliza, ""La bona sinjorino"""
;;Maximum entropy;0,885;0,344;3,94%;-17,49%;"L. L. Zamenhof , ""Proverbaro Esperanta"""
;;Minimum complexity;0,861;0,408;1,14%;-2,16%;"Hjalmarj S?derberg, ""La kiso kaj dek tri aliaj noveloj"""
;;Mean complexity;0,856;0,408;0,86%;-2,23%;"Piron Claude, ""Lasu min paroli plu!"""
;;Maximum complexity;0,804;0,499;-5,56%;19,73%;"V. Stankievi?, ""El la vivo de esperantistoj"""
;;Mean entropy and complexity;0,841;0,446;-1,21%;6,92%;"Roberto Tresoldi, ""Kronikoj pri Badik"""
3;6;Minimum entropy;0,687;0,603;-13,00%;8,10%;"Saussure Ren?, ""Fundamentaj reguloj de la vort-teorio en Esperanto"""
;;Mean entropy;0,787;0,58;-0,27%;3,97%;"Boker, ""El la vivo de bervala sentaugulo"""
;;Maximum entropy;0,861;0,448;9,11%;-19,75%;"L. L. Zamenhof, ""Fundamenta Krestomatio"""
;;Minimum complexity;0,861;0,448;9,11%;-19,75%;"L. L. Zamenhof, ""Fundamenta Krestomatio"""
;;Mean complexity;0,809;0,555;2,48%;-0,46%;"Jen? Rejt?, ""Bill Teksaso, la temeraruloo"""
;;Maximum complexity;0,722;0,613;-8,57%;9,88%;"Franti?ek Omelka, ""Aventuroj de Antonio"""
;;Mean entropy and complexity;0,756;0,604;-4,27%;8,32%;"Reyto, ""Kiuj inter?an?is vivon"""
4;3;Minimum entropy;0,776;0,548;-7,10%;14,71%;"Saussure Ren?, ""Fundamentaj reguloj de la vort-teorio en Esperanto"""
;;Mean entropy;0,838;0,486;0,33%;1,72%;"Piron Claude, ""La bona lingvo"""
;;Maximum entropy;0,879;0,395;5,21%;-17,18%;"L. L. Zamenhof , ""Proverbaro Esperanta"""
;;Minimum complexity;0,879;0,395;5,21%;-17,18%;"L. L. Zamenhof , ""Proverbaro Esperanta"""
;;Mean complexity;0,846;0,471;1,26%;-1,38%;"Hjalmarj S?derberg, ""La kiso kaj dek tri aliaj noveloj"""
;;Maximum complexity;0,776;0,548;-7,10%;14,71%;"Saussure Ren?, ""Fundamentaj reguloj de la vort-teorio en Esperanto"""
;;Mean entropy and complexity;0,793;0,545;-5,10%;14,15%;"V. Stankievi?, ""El la vivo de esperantistoj"""
4;4;Minimum entropy;0,6;0,584;-15,98%;-7,53%;"Fabeloj al Helenjo, ""Fabeloj al Helenjo"""
;;Mean entropy;0,714;0,65;-0,10%;3,00%;"Baum Frank, ""La Eksterordinara Lando Oz"""
;;Maximum entropy;0,831;0,576;16,40%;-8,68%;"Lajos K?k?ny, ""Enciklopedio de esperanto"" "
;;Minimum complexity;0,831;0,576;16,40%;-8,68%;"Lajos K?k?ny, ""Enciklopedio de esperanto"" "
;;Mean complexity;0,667;0,63;-6,65%;-0,18%;"Jen? Rejt?, ""Reen en la inferon!"""
;;Maximum complexity;0,744;0,654;4,13%;3,64%;"Reyto, ""Mar?i au morti"""
;;Mean entropy and complexity;0,704;0,646;-1,49%;2,30%;"Piron Claude, ""La bona lingvoo"" "
5;2;Minimum entropy;0,803;0,536;-5,44%;17,65%;"Saussure Ren?, ""Fundamentaj reguloj de la vort-teorio en Esperanto"""
;;Mean entropy;0,848;0,47;-0,17%;3,28%;"Gomer, ""Biblioteca de la Lingvo Internacia Esperanto"" "
;;Maximum entropy;0,893;0,366;5,11%;-19,53%;"Georges Simenon, ""Maigret hezitas"""
;;Minimum complexity;0,893;0,366;5,11%;-19,53%;"Georges Simenon, ""Maigret hezitas"""
;;Mean complexity;0,86;0,448;1,23%;-1,62%;"Claude Piron, ""?u ?i mortu tra-fike?"""
;;Maximum complexity;0,803;0,536;-5,44%;17,65%;"Saussure Ren?, ""Fundamentaj reguloj de la vort-teorio en Esperanto"""
;;Mean entropy and complexity;0,883;0,391;3,98%;-14,13%;"L. L. Zamenhof, ""Proverbaro Esperanta"""
;;;;;;;
Amharic;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;5;Minimum entropy;0,651;0,472;-15,58%;12,21%;?????-???-??
;;Mean entropy;0,77;0,464;-0,13%;10,26%;?????-
;;Maximum entropy;0,866;0,347;12,31%;-17,62%;??? ???? ?? ????
;;Minimum complexity;0,857;0,345;11,06%;-18,12%;????? ??? ?????
;;Mean complexity;0,786;0,421;1,92%;-0,07%;???-???-????
;;Maximum complexity;0,703;0,508;-8,88%;20,79%;???? ?????? ???
;;Mean entropy and complexity;0,779;0,409;0,96%;-2,90%;???? ??????
3;6;Minimum entropy;0,662;0,599;-10,74%;11,79%;???-????
;;Mean entropy;0,741;0,517;-0,09%;-3,49%;???? ???? ???? ?????.
;;Maximum entropy;0,841;0,446;13,32%;-16,69%;????? ??? by ??? ??
;;Minimum complexity;0,776;0,435;4,56%;-18,83%;????? ???
;;Mean complexity;0,775;0,534;4,51%;-0,32%;????-777-?????
;;Maximum complexity;0,724;0,608;-2,35%;13,62%;???? ???.
;;Mean entropy and complexity;0,695;0,597;-6,28%;11,40%;???? ???
4;3;Minimum entropy;0,633;0,477;-17,58%;1,87%;??? ? ????
;;Mean entropy;0,768;0,465;-0,02%;-0,83%;???? ??? ?? ????? ???? ???? ??? ??? ???
;;Maximum entropy;0,866;0,392;12,79%;-16,35%;??? ???? ?? ????
;;Minimum complexity;0,834;0,386;8,67%;-17,71%;?????
;;Mean complexity;0,782;0,468;1,82%;-0,10%;??? (???? ???
;;Maximum complexity;0,711;0,567;-7,46%;20,99%;??????? ??.
;;Mean entropy and complexity;0,773;0,464;0,63%;-1,01%;??? ? ????
4;4;Minimum entropy;0,569;0,558;-18,31%;-9,40%;????
;;Mean entropy;0,696;0,606;-0,09%;-1,60%;? ? ???? ???? ?????
;;Maximum entropy;0,803;0,604;15,21%;-1,93%;????? ??? by ??? ??
;;Minimum complexity;0,715;0,549;2,60%;-10,91%;???? ??????
;;Mean complexity;0,682;0,616;-2,19%;-0,02%;????? ?????? ????
;;Maximum complexity;0,736;0,65;5,57%;5,56%;???? ?? ??? ????? ??????
;;Mean entropy and complexity;0,689;0,626;-1,06%;1,64%;????? ?????? ??????
6;2;Minimum entropy;0,608;0,591;-14,29%;-7,03%;???? ???? ???? ???? ????
;;Mean entropy;0,71;0,64;0,00%;0,78%;?? ????? ???? ?????? ???? ??????
;;Maximum entropy;0,815;0,607;14,92%;-4,55%;?????
;;Minimum complexity;0,771;0,582;8,68%;-8,48%;???? ??????
;;Mean complexity;0,671;0,635;-5,37%;-0,03%;????? ????
;;Maximum complexity;0,75;0,66;5,67%;3,91%;??? ???? ?? ????
;;Mean entropy and complexity;0,703;0,644;-0,93%;1,29%;????-??-???-???-????
;;;;;;;
Chechen;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;3;Minimum entropy;0,512;0,374;-16,98%;-1,40%;Починок каменниковскан йуьртан
;;Mean entropy;0,616;0,386;-0,02%;1,77%;Бибиков 
;;Maximum entropy;0,737;0,39;19,56%;2,62%;Большая коклала
;;Minimum complexity;0,714;0,33;15,82%;-13,19%;Азербайджанийн Совет Социалист Республика
;;Mean complexity;0,611;0,379;-0,77%;-0,22%;Мадар туьрк меттан
;;Maximum complexity;0,642;0,426;4,12%;12,15%;Бутиково Тулин
;;Mean entropy and complexity;0,626;0,369;1,54%;-2,86%;Абано казбегин муниципалитет 
3;4;Minimum entropy;0,434;0,384;-19,00%;-8,56%;Мали язовка
;;Mean entropy;0,535;0,446;-0,20%;6,16%;Екатериновка юхнован 
;;Maximum entropy;0,629;0,433;17,41%;3,17%;Истамгулово Башкирийчоьнан
;;Minimum complexity;0,451;0,378;-15,92%;-10,04%;Хорупино
;;Mean complexity;0,541;0,418;0,90%;-0,41%;Наумовка орёлан
;;Maximum complexity;0,59;0,483;10,01%;15,10%;Лесной Исаклин
;;Mean entropy and complexity;0,531;0,429;-14,56%;2,14%;Палутино ярославлан
4;2;Minimum entropy;0,52;0,4;-16,35%;-3,30%;Починок каменниковскан йуьртан
;;Mean entropy;0,619;0,403;-0,38%;-2,57%;Мамаева
;;Maximum entropy;0,735;0,372;18,22%;-10,11%;Хирийчоь
;;Minimum complexity;0,729;0,367;17,32%;-11,31%;Азербайджанийн Совет Социалист Республик
;;Mean complexity;0,659;0,413;5,95%;-0,27%;Жмакино Оренбурган
;;Maximum complexity;0,663;0,464;6,73%;12,16%;Левинка Тулин
;;Mean entropy and complexity;0,609;0,436;-2,03%;5,31%;Перещепни
6;1;Minimum entropy;0,618;0,379;-11,96%;-0,99%;Расловино 
;;Mean entropy;0,69;0,374;-1,59%;-2,46%;Алай
;;Maximum entropy;0,765;0,319;9,00%;-16,83%;Полеводство
;;Minimum complexity;0,765;0,319;9,00%;-16,83%;Полеводство
;;Mean complexity;0,655;0,381;-6,67%;-0,65%;Алексеевск Брянскан
;;Maximum complexity;0,676;0,463;-3,61%;20,78%;Бутиково Тулин
;;Mean entropy and complexity;0,686;0,415;-2,20%;8,39%;Фироновка Белгородан
;;;;;;;
Swahili;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;4;Minimum entropy;0,658;0,503;-12,88%;5,47%;Historia ya Afrika
;;Mean entropy;0,755;0,487;-0,07%;2,00%;Malenga wa kirani
;;Maximum entropy;0,852;0,372;12,73%;-22,09%;Mfumo wa hatimiliki wa Torrens
;;Minimum complexity;0,852;0,372;12,73%;-22,09%;Mfumo wa hatimiliki wa Torrens
;;Mean complexity;0,767;0,477;1,57%;-0,03%;Shule ya Upili ya Wavulana ya Starehe
;;Maximum complexity;0,677;0,515;-10,34%;8,03%;Wamassai
;;Mean entropy and complexity;0,748;0,491;-0,93%;2,81%;Hes
3;5;Minimum entropy;0,536;0,502;-14,77%;-9,04%;Hinabuluu
;;Mean entropy;0,629;0,558;-0,03%;1,11%;Tuzo la Headies kwa Msanii Bora wa Mwaka
;;Maximum entropy;0,757;0,554;20,37%;0,39%;Anselmo wa Aosta
;;Minimum complexity;0,536;0,502;-14,77%;-9,04%;Hinabuluu
;;Mean complexity;0,613;0,552;-2,50%;-0,04%;East African Community
;;Maximum complexity;0,693;0,572;10,20%;3,61%;Damu
;;Mean entropy and complexity;0,626;0,557;-0,44%;0,94%;Kilimanjaro (mlima)
